Generic,CPU_mean_BLAS,CPU_mean_MKL,CPU_mean_Julia
{$ X.Y $},.9388493236678258,1,3.8958438131097037
{$ \lambda X $},.9498953469602913,1,1.9072736112169475
{$ X+Y $},.6132683009066282,1,1.8903299320397913
{$ X-Y $},.6452606498419691,1,1.9928685256234584
{$ \lambda X+Y $},1.0443299793345329,1,3.8151159454374413
{$ X*Y $},nan,1,3.5946768019269966
{$ X^2 $},nan,1,11.931857790368271
{$ X/Y $},nan,1,8.722284444444444
{$ 1/X $},nan,1,7.288458103779631
{$ |X| $},nan,1,2.1195941775653924
{$ \sqrt{X} $},nan,1,7.000045729657027
{$ 1/\sqrt{X} $},nan,1,14.453060874999991
