N,ALLOC,SQRT,diff
1,43.50098550144988,50.36614318568146,6.865157684231576
2,21.326448210357917,28.941558188362343,7.615109978004426
3,15.14113347330533,21.57985102979407,6.43871755648874
4,11.674283586565375,17.840896241503387,6.166612654938012
5,9.312530234882551,15.664518440779581,6.35198820589703
6,8.079033393321343,14.377409018196365,6.298375624875023
7,6.926402979106272,13.438308307507763,6.5119053284014905
8,5.849667965627511,12.141262290167871,6.291594324540361
9,5.543213629096723,11.626340827338124,6.083127198241401
10,5.177426773226773,11.782292207792215,6.6048654345654425
20,2.604575249500997,9.536567864271449,6.9319926147704525
30,2.8186426147704577,8.732420658682642,5.913778043912185
40,2.4261141434262945,8.848076095617525,6.42196195219123
50,1.995790149253732,8.248663781094526,6.252873631840794
60,1.690732734530936,8.372539620758491,6.681806886227555
70,1.5125220779220785,7.924000799200804,6.411478721278725
80,1.4870335317460328,7.7917218253968255,6.304688293650793
90,1.1943215277777786,7.683686309523829,6.48936478174605
100,1.4770536633663365,7.927693663366339,6.450640000000003
200,0.8528965686274513,7.220729215686274,6.3678326470588225
300,2.455499411764703,8.913122058823527,6.457622647058824
400,1.8250531730769237,8.142534230769241,6.3174810576923175
500,1.7302345714285683,7.792591904761904,6.0623573333333365
750,1.4339383809523816,7.699743047619046,6.265804666666664
1000,1.5027592727272738,8.407775363636366,6.9050160909090925
2500,1.3815216000000001,7.880737920000001,6.499216320000001
5000,0.5787075999999998,7.767716266666664,7.189008666666664
7500,0.8333086,7.9792525333333435,7.145943933333344
10000,1.0404024000000005,7.574137949999997,6.533735549999997
100000,0.28085490999999985,9.761081619999997,9.480226709999997
1000000,0.7342282080000004,8.364541792000011,7.630313584000011
